Customer_ID,Full_Name,Gender,Age,Join_Date,Annual_Income,Credit_Score,Spending_Score,City,Loyalty_Member
CUST-1735,Emma Jones,Male,62,2019-10-05,69500.0,708,5,New York,No
CUST-1442,Michael Smith,Female,31,2022-06-07,80400.0,613,17,New York,Yes
CUST-1167,James Martinez,Female,29,2023-12-24,106900.0,659,89,Chicago,Yes
CUST-1333,Olivia Martinez,Female,38,2022-01-07,65650.0,692,10,New York,Yes
CUST-1327,Olivia Miller,Female,61,2020-09-02,39700.0,580,43,San Francisco,No
CUST-1012,David Miller,Female,70,2020-04-05,91700.0,734,26,New York,No
CUST-1076,Jane Jones,Male,59,2020-04-05,80900.0,726,70,New York,Yes
CUST-1081,John Johnson,Male,33,2021-04-20,94700.0,722,58,Chicago,No
CUST-1043,Sarah Garcia,Female,40,2020-12-19,49600.0,760,50,San Francisco,Yes
CUST-1945,Robert Davis,Male,46,2024-08-26,73000.0,647,91,San Francisco,No
CUST-1477,Sarah Johnson,Male,65,2023-12-12,96400.0,647,20,San Francisco,No
CUST-1085,James Martinez,Male,45,2023-10-19,65650.0,611,83,San Francisco,Yes
CUST-1019,James Brown,Female,46,2024-05-06,65650.0,649,12,New York,No
CUST-1493,James Williams,Male,18,2022-05-21,53600.0,820,55,San Francisco,Yes
CUST-1210,Olivia Smith,Male,58,2019-03-20,33200.0,617,29,Chicago,Yes
CUST-1096,Jane Davis,Female,64,2023-11-10,37000.0,652,43,New York,Yes
CUST-1297,Robert Rodriguez,Male,56,2023-01-28,74900.0,782,5,San Francisco,Yes
CUST-1247,Michael Davis,Male,32,2022-10-09,61400.0,688,22,New York,No
CUST-1002,Michael Johnson,Male,35,2019-12-22,66700.0,716,87,Chicago,Yes
CUST-1198,,Male,46,2021-08-04,62400.0,681,64,San Francisco,No
CUST-1102,James Williams,Female,39,2020-11-03,35300.0,625,94,New York,Yes
CUST-1231,John Jones,Male,74,2020-11-03,70800.0,730,100,Chicago,Yes
CUST-1462,Emily Jones,Male,71,2020-03-19,60200.0,683,45,New York,Yes
CUST-1006,John Brown,Female,18,2019-03-21,44900.0,657,66,Chicago,Yes
CUST-1615,Emma Miller,Male,48,2020-07-03,33100.0,782,95,San Francisco,No
CUST-1218,Emma Williams,Male,46,2021-11-19,44000.0,730,2,New York,Yes
CUST-1826,John Williams,Other,35,2022-11-20,98000.0,698,39,New York,Yes
CUST-1365,Emily Garcia,Other,25,2020-08-17,53100.0,838,96,New York,No
CUST-1465,Michael Garcia,Female,46,2024-06-02,93000.0,689,44,San Francisco,No
CUST-1807,Robert Garcia,Female,31,2020-02-13,55400.0,611,41,New York,Yes
CUST-1233,John Williams,Female,56,2019-10-09,26300.0,791,50,San Francisco,No
CUST-1168,Michael Garcia,Male,41,2022-07-23,88000.0,620,85,San Francisco,No
CUST-1643,Robert Davis,Female,28,2019-02-24,52500.0,783,96,New York,No
CUST-1294,Michael Martinez,Male,62,2024-10-19,57100.0,780,50,New York,Yes
CUST-1422,John Miller,Male,75,2019-10-12,48000.0,635,94,Chicago,No
CUST-1526,Emily Smith,Male,55,2019-10-12,68200.0,693,70,New York,No
CUST-1581,Sarah Garcia,Male,51,2019-01-14,51800.0,689,41,Chicago,No
CUST-1290,Emma Johnson,Male,29,2022-01-10,33300.0,690,40,San Francisco,Yes
CUST-1420,Sarah Rodriguez,Female,25,2022-01-10,85300.0,514,23,Chicago,Yes
CUST-1270,Robert Rodriguez,Male,56,2019-03-14,65650.0,683,91,San Francisco,No
CUST-1376,Emily Johnson,Female,43,2023-07-18,124100.0,701,74,New York,Yes
CUST-1519,Emily Davis,Female,41,2019-03-15,76300.0,699,10,New York,No
CUST-1073,Michael Brown,Male,73,2022-01-06,56900.0,754,100,San Francisco,Yes
CUST-1344,Robert Brown,Male,30,2019-04-05,65400.0,777,67,Chicago,Yes
CUST-1178,Robert Martinez,Female,56,2023-04-02,58600.0,683,74,New York,No
CUST-1429,John Rodriguez,Female,36,2019-12-25,65650.0,792,63,New York,Yes
CUST-1907,Robert Williams,Male,39,2019-12-25,87800.0,648,16,Chicago,No
CUST-1425,John Davis,Female,35,2023-11-18,69200.0,647,50,San Francisco,No
CUST-1599,Sarah Jones,Female,56,2019-11-09,69100.0,678,41,New York,Yes
CUST-1158,Olivia Garcia,Female,47,2020-12-18,57700.0,744,80,Chicago,Yes
CUST-1029,James Smith,Female,73,2019-08-09,50700.0,683,39,San Francisco,Yes
CUST-1049,John Davis,Male,54,2022-05-12,69500.0,583,80,San Francisco,Yes
CUST-1567,Olivia Garcia,Male,27,2020-11-05,52400.0,557,41,Chicago,Yes
