Customer_ID,Full_Name,Gender,Age,Join_Date,Annual_Income,Credit_Score,Spending_Score,City,Loyalty_Member
CUST-1735,  emma jones  , Man ,62,"October 05, 2019","$69,500.00",708.0,5.0,New York,no
CUST-1442,Michael Smith,F,31,06/07/2022,"$80,400",613.0,17.0,new york,Yes
CUST-1167,James Martinez,Female,29 yrs,12-24-2023,106900.0,659.0,89.0,Chicago,yes
CUST-1333,OLIVIA MARTINEZ,Female,38,"January 07, 2022",,692.0,10.0, NY ,true
CUST-1327,Olivia Miller,Female,61,09/02/2020,"$39,700.00",580.0,43.0,San Francisco,NO
CUST-1012,David Miller,Female,70,04-05-2020,"$91,700",734.0,26.0,New York,No
CUST-1076,Jane Jones,Male,59,,"$80,900.00",726.0,70.0,New York,yes
CUST-1081,John Johnson,male,33,04-20-2021,"$94,700.00",722.0,58.0,Chicago,no
CUST-1043,  sarah garcia  ,Female,40,19/12/2020,49600.0,760.0,,San Francisco,Y
CUST-1945,Robert Davis,m,,2024-08-26,"$73,000",647.0,91.0,San Francisco,No
,Emily Brown,Female,43,2024-08-09,,668.0,,Chicago,Yes
CUST-1477,Sarah Johnson,Male,65,2023-12-12,"$96,400",647.0,20.0,San Francisco,No
CUST-1085,James Martinez,Male,45,"October 19, 2023",,611.0,83.0,San Francisco,Yes
CUST-1019,JAMES BROWN,Female,,05-06-2024,,649.0,12.0,new york,No
CUST-1493,James Williams,M,18,21/05/2022,"$53,600",820.0,55.0,San Francisco,yes
 CUST-1210 ,OLIVIA SMITH,M,58,03-20-2019,33200.0,617.0,29.0,Chicago,YES
CUST-1096,  jane davis  ,Woman,64,11/10/2023,"$37,000.00",652.0,43.0,New York,Yes
CUST-1297,Robert Rodriguez, Man ,56,2023-01-28,"$74,900.00",782.0,5.0,San Francisco,YES
CUST-1247,  michael davis  ,male,32,10/09/2022,"$61,400",688.0,22.0,new york,
CUST-1002,Michael Johnson,Male,35,2019-12-22,66700.0,716.0,87.0,chicago,YES
CUST-1198,,M,,08-04-2021,"$62,400",681.0,64.0,San Francisco,No
CUST-1102,James Williams,female,39,11/03/2020,"$35,300",625.0,94.0,New York,Yes
CUST-1231,John Jones,Male,74,invalid_date_str,70800.0,730.0,180.0,Chicago,yes
CUST-1462,Emily Jones,male,71,19/03/2020,"$60,200.00",,45.0,New York,yes
CUST-1006,John Brown,Female,18,2019-03-21,"$44,900.00",657.0,66.0,Chicago,true
CUST-1615,Emma Miller,male,48,2020-07-03,"$33,100",782.0,95.0,San Francisco,no
CUST-1218,Emma Williams,M,185,19/11/2021,"$44,000.00",730.0,2.0,New York,Yes
CUST-1826,JOHN WILLIAMS,Other,35,2022-11-20,"$98,000",698.0,39.0,,Yes
CUST-1462,Emily Jones,male,71,19/03/2020,"$60,200.00",,45.0,New York,yes
CUST-1365,Emily Garcia,Other,25,17/08/2020,"$53,100.00",838.0,96.0,New York,no
CUST-1465,Michael Garcia,Female,-3,2024-06-02,"$93,000.00",689.0,44.0,San Francisco,No
CUST-1807,Robert Garcia,female,31,13/02/2020,55400.0,611.0,41.0,New York,Yes
CUST-1233,John Williams,f,56,10-09-2019,"$26,300.00",791.0,,San Francisco,no
CUST-1168,Michael Garcia,M,41,23/07/2022,"$88,000.00",620.0,85.0,San Francisco,No
CUST-1643,Robert Davis,f,28,02-24-2019,52500.0,783.0,96.0,,
CUST-1294,Michael Martinez,Male,62,2024-10-19,57100.0,780.0,,New York,yes
CUST-1422,John Miller,male,75,10-12-2019,"$48,000.00",635.0,94.0,Chicago,No
CUST-1526,EMILY SMITH,male,55,,"$68,200",693.0,70.0,New York,No
CUST-1581,Sarah Garcia,Male,51 yrs,14/01/2019,51800.0,689.0,41.0,Chicago,false
 CUST-1290 ,Emma Johnson,M,29,2022-01-10,"$33,300",690.0,40.0,San Francisco,Yes
 CUST-1420 ,  sarah rodriguez  ,Female,25,,"$85,300",514.0,23.0,Chicago,yes
 CUST-1270 ,Robert Rodriguez,Male,56,2019-03-14,,,91.0,San Francisco,N
CUST-1376,Emily Johnson,Female,43,2023-07-18,"$2,500,000.00",701.0,74.0,NYC,Yes
CUST-1519,Emily Davis,Female,41,2019-03-15,"$76,300.00",699.0,10.0,New York,no
CUST-1073,Michael Brown,male,73,01-06-2022,"$56,900",754.0,145.0,SF,Yes
CUST-1344,Robert Brown,Male,30,04-05-2019,"$65,400",777.0,67.0,chicago,yes
CUST-1178,Robert Martinez,female,56,2023-04-02,"$58,600.00",999.0,74.0,new york,No
